model,threshold_bp,threshold,net_benefit,net_benefit_ci_low,net_benefit_ci_high,n_folds,endpoint,stage
real_only,2400,0.24,0.5760749180472157,0.5574494783040838,0.5869956334126757,5,any_abnormal,calibrated
real_only,2500,0.25,0.5687372733446767,0.5443637195693396,0.5814889085248447,5,any_abnormal,calibrated
real_only,2600,0.26,0.5620747082550686,0.5352029015512954,0.5758333532346399,5,any_abnormal,calibrated
real_only,2700,0.27,0.5548683625236722,0.525431335437624,0.5700228512241555,5,any_abnormal,calibrated
real_only,2800,0.28,0.5475788955667367,0.5164398393259513,0.5640509463800466,5,any_abnormal,calibrated
real_only,2900,0.29,0.5392771809222026,0.5048652141567722,0.5579108188642726,5,any_abnormal,calibrated
real_only,3000,0.3,0.5304943378550512,0.4915456023051267,0.5515952591337623,5,any_abnormal,calibrated
real_only,3100,0.31,0.5223875132254301,0.4789924523633156,0.5450966397009183,5,any_abnormal,calibrated
real_only,3200,0.32,0.5127037903647405,0.4668007056916254,0.5384068844024023,5,any_abnormal,calibrated
real_only,3300,0.33,0.5028713519965985,0.4517411591058488,0.5315174349158709,5,any_abnormal,calibrated
real_only,3400,0.34,0.4922857319258291,0.4360533189228136,0.524419214232778,5,any_abnormal,calibrated
real_only,3500,0.35,0.482372955334317,0.4238168478373827,0.5171025867594362,5,any_abnormal,calibrated
real_only,3600,0.36,0.4703112325375903,0.4091005809240746,0.5092617207182865,5,any_abnormal,calibrated
real_only,3700,0.37,0.4580146766599077,0.3973507803553737,0.5012057951339226,5,any_abnormal,calibrated
real_only,3800,0.38,0.4465104193192678,0.3862600343411981,0.4919048552348183,5,any_abnormal,calibrated
real_only,3900,0.39,0.4357692525113558,0.3755227873724868,0.4828456785859525,5,any_abnormal,calibrated
real_only,4000,0.4,0.422834271721059,0.3642979374943709,0.4729422240397651,5,any_abnormal,calibrated
real_only,4100,0.41,0.4129949494280619,0.3565211417894385,0.4637177122029269,5,any_abnormal,calibrated
real_only,4200,0.42,0.4016589143812169,0.345954960914571,0.4519161507191956,5,any_abnormal,calibrated
real_only,4300,0.43,0.3907407276159391,0.3355916134567708,0.4415831422799241,5,any_abnormal,calibrated
real_only,4400,0.44,0.381442017653582,0.3255992588875592,0.4315386110818425,5,any_abnormal,calibrated
real_only,4500,0.45,0.3714008950366691,0.3189604775122203,0.4193132303043137,5,any_abnormal,calibrated
real_only,4600,0.46,0.3615805446083748,0.3123950483853213,0.4086372798088549,5,any_abnormal,calibrated
real_only,4700,0.47,0.3503493726146757,0.3043542540771745,0.3967380986794506,5,any_abnormal,calibrated
real_only,4800,0.48,0.3405113963130715,0.2949410762164072,0.3895079348672971,5,any_abnormal,calibrated
real_only,4900,0.49,0.3292870598716713,0.287658176144261,0.3786038882629152,5,any_abnormal,calibrated
real_only,5000,0.5,0.3177866172035315,0.2796080460357682,0.36718042603533,5,any_abnormal,calibrated
rla_selected,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,calibrated
rla_selected,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,calibrated
rla_selected,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,calibrated
rla_selected,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,calibrated
rla_selected,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,calibrated
rla_selected,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,calibrated
rla_selected,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,calibrated
rla_selected,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,calibrated
rla_selected,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,calibrated
rla_selected,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,calibrated
rla_selected,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,calibrated
rla_selected,1200,0.12,0.6371670104434223,0.6318305803531419,0.6433144106745836,5,any_abnormal,calibrated
rla_selected,1300,0.13,0.6329971376215541,0.6276015438427555,0.6392145763145214,5,any_abnormal,calibrated
rla_selected,1400,0.14,0.6287566895046457,0.6233929508578975,0.6350193969693413,5,any_abnormal,calibrated
rla_selected,1500,0.15,0.6244012038167831,0.6190166517105977,0.6307255075219218,5,any_abnormal,calibrated
rla_selected,1600,0.16,0.6200256711723883,0.6146767460323256,0.6263293826114685,5,any_abnormal,calibrated
rla_selected,1700,0.17,0.6153525987810242,0.6100137826989476,0.6218273269802814,5,any_abnormal,calibrated
rla_selected,1800,0.18,0.610651226298296,0.6052295219610513,0.6172213962732016,5,any_abnormal,calibrated
rla_selected,1900,0.19,0.6051097093671173,0.5969293859292057,0.6125024060356853,5,any_abnormal,calibrated
rla_selected,2000,0.2,0.5997810562521451,0.5913285032533209,0.6071120807378576,5,any_abnormal,calibrated
rla_selected,2100,0.21,0.594643193492933,0.5864181881476865,0.6022506978400767,5,any_abnormal,calibrated
